#scheme	genus	species	description	n_loci	source	database_url	pubmed_id	citation
cperfringens	Clostridium	perfringens	Clostridium perfringens MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_cperfringens_seqdef&page=schemeInfo&scheme_id=1	22865060	Xiao Y, Wagendorp A, Moezelaar R, et al. A wide variety of Clostridium perfringens type A food-borne isolates that carry a chromosomal cpe gene belong to one multilocus sequence typing cluster. Appl Environ Microbiol 2012;78:7060-8.
cronobacter	Cronobacter		Cronobacter spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_cronobacter_seqdef&page=schemeInfo&scheme_id=1	19852808	Baldwin A, Loughlin M, Caubilla-Barron J, et al. Multilocus sequence typing of Cronobacter sakazakii and Cronobacter malonaticus reveals stable clonal structures with clinical significance which do not correlate with biotypes. BMC Microbiol 2009;9:223.
csepticum	Clostridium	septicum	Clostridium septicum MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_csepticum_seqdef&page=schemeInfo&scheme_id=1		
diphtheria_3	Corynebacterium	diphtheriae	Corynebacterium diphtheriae MLST (Pasteur)	7	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_diphtheria_seqdef&page=schemeInfo&scheme_id=3	20844217	Bolt F, Cassiday P, Tondella ML, et al. Multilocus sequence typing identifies evidence for recombination and two distinct lineages of Corynebacterium diphtheriae. J Clin Microbiol 2010;48:4177-85.
dnodosus	Dichelobacter	nodosus	Dichelobacter nodosus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_dnodosus_seqdef&page=schemeInfo&scheme_id=1	29628922	Blanchard AM, Jolley KA, Maiden MCJ, et al. The Applied Development of a Tiered Multilocus Sequence Typing (MLST) Scheme for Dichelobacter nodosus. Front Microbiol 2018;9:551.
ecloacae	Enterobacter	cloacae	Enterobacter cloacae complex MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_ecloacae_seqdef&page=schemeInfo&scheme_id=1	23776664	Miyoshi-Akiyama T, Hayakawa K, Ohmagari N, et al. Multilocus sequence typing (MLST) for characterization of Enterobacter cloacae. PLoS One 2013;8:e66358.
ecoli	Escherichia	coli	Escherichia coli MLST (Pasteur)	8	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_ecoli_seqdef&page=schemeInfo&scheme_id=1	19036134	Jaureguy F, Landraud L, Passet V, et al. Phylogenetic and genomic diversity of human bacteremic Escherichia coli strains. BMC Genomics 2008;9:560.
ecoli_achtman_4	Escherichia	coli	Escherichia coli MLST (Achtman)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_ecoli_achtman_seqdef&page=schemeInfo&scheme_id=4	16689791	Wirth T, Falush D, Lan R, et al. Sex and virulence in Escherichia coli: an evolutionary perspective. Mol Microbiol 2006;60:1136-51.
edwardsiella	Edwardsiella		Edwardsiella spp. MLST	10	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_edwardsiella_seqdef&page=schemeInfo&scheme_id=1		
efaecalis	Enterococcus	faecalis	Enterococcus faecalis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_efaecalis_seqdef&page=schemeInfo&scheme_id=1	16757624	Ruiz-Garbajosa P, Bonten MJ, Robinson DA, et al. Multilocus sequence typing scheme for Enterococcus faecalis reveals hospital-adapted genetic complexes in a background of high rates of recombination. J Clin Microbiol 2006;44:2220-8.
efaecium	Enterococcus	faecium	Enterococcus faecium MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_efaecium_seqdef&page=schemeInfo&scheme_id=1	12037049	Homan WL, Tribe D, Poznanski S, et al. Multilocus sequence typing scheme for Enterococcus faecium. J Clin Microbiol 2002;40:1963-71.
fpsychrophilum	Flavobacterium	psychrophilum	Flavobacterium psychrophilum MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_fpsychrophilum_seqdef&page=schemeInfo&scheme_id=1	18424537	Nicolas P, Mondot S, Achaz G, et al. Population structure of the fish-pathogenic bacterium Flavobacterium psychrophilum. Appl Environ Microbiol 2008;74:3702-9.
gallibacterium	Gallibacterium	anatis	Gallibacterium anatis MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_gallibacterium_seqdef&page=schemeInfo&scheme_id=1		
geotrichum	Geotrichum		Geotrichum spp. MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_geotrichum_seqdef&page=schemeInfo&scheme_id=1	27862252	Jacques N, Mallet S, Laaghouiti F, et al. Specific populations of the yeast Geotrichum candidum revealed by molecular typing. Yeast 2017;34:165-178.
halobacteria			Halobacteria (haloarchaea) MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_halobacteria_seqdef&page=schemeInfo&scheme_id=1	21296924	Papke RT, White E, Reddy P, et al. A multilocus sequence analysis approach to the phylogeny and taxonomy of the Halobacteriales. Int J Syst Evol Microbiol 2011;61:2984-2995.
hcinaedi	Helicobacter	cinaedi	Helicobacter cinaedi MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_hcinaedi_seqdef&page=schemeInfo&scheme_id=1		
helicobacter	Helicobacter	pylori	Helicobacter pylori MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_helicobacter_seqdef&page=schemeInfo&scheme_id=1	10320570	Achtman M, Azuma T, Berg DE, et al. Recombination and clonal groupings within Helicobacter pylori from different geographical regions. Mol Microbiol 1999;32:459-70.
hinfluenzae	Haemophilus	influenzae	Haemophilus influenzae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_hinfluenzae_seqdef&page=schemeInfo&scheme_id=1	12682154	Meats E, Feil EJ, Stringer S, et al. Characterization of encapsulated and noncapsulated Haemophilus influenzae and determination of phylogenetic relationships by multilocus sequence typing. J Clin Microbiol 2003;41:1623-36.
hparasuis	Glaesserella	parasuis	Glaesserella (Haemophilus) parasuis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_hparasuis_seqdef&page=schemeInfo&scheme_id=1	17159221	Olvera A, Cerdà-Cuéllar M, Aragon V. Study of the population structure of Haemophilus parasuis by multilocus sequence typing. Microbiology (Reading) 2006;152:3683-3690.
hsuis	Helicobacter	suis	Helicobacter suis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_hsuis_seqdef&page=schemeInfo&scheme_id=1		
kaerogenes	Klebsiella	aerogenes	Klebsiella aerogenes MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_kaerogenes_seqdef&page=schemeInfo&scheme_id=1		
kingella	Kingella	kingae	Kingella kingae MLST (Pasteur)	6	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_kingella_seqdef&page=schemeInfo&scheme_id=1	22693588	Basmaci R, Yagupsky P, Ilharreborde B, et al. Multilocus sequence typing and rtxA toxin gene sequencing analysis of Kingella kingae isolates demonstrates genetic diversity and international clones. PLoS One 2012;7:e38078.
klebsiella	Klebsiella	pneumoniae	Klebsiella pneumoniae MLST (Pasteur)	7	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_klebsiella_seqdef&page=schemeInfo&scheme_id=1	16081970	Diancourt L, Passet V, Verhoef J, et al. Multilocus sequence typing of Klebsiella pneumoniae nosocomial isolates. J Clin Microbiol 2005;43:4178-82.
koxytoca	Klebsiella	oxytoca	Klebsiella oxytoca MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_koxytoca_seqdef&page=schemeInfo&scheme_id=1		
leptospira	Leptospira		Leptospira spp. MLST (scheme 1)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_leptospira_seqdef&page=schemeInfo&scheme_id=1	23359622	Boonsilp S, Thaipadungpanit J, Amornchai P, et al. A single multilocus sequence typing (MLST) scheme for seven pathogenic Leptospira species. PLoS Negl Trop Dis 2013;7:e1954.
leptospira_2	Leptospira		Leptospira spp. MLST (scheme 2)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_leptospira_seqdef&page=schemeInfo&scheme_id=2		
leptospira_3	Leptospira		Leptospira spp. MLST (scheme 3)	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_leptospira_seqdef&page=schemeInfo&scheme_id=3		
lgarvieae	Lactococcus	garvieae	Lactococcus garvieae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_lgarvieae_seqdef&page=schemeInfo&scheme_id=1	24391975	Ferrario C, Ricci G, Milani C, et al. Lactococcus garvieae: where is it from? A first approach to explore the evolutionary history of this emerging pathogen. PLoS One 2013;8:e84796.
liberibacter	Liberibacter	solanacearum	'Candidatus Liberibacter solanacearum' MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_liberibacter_seqdef&page=schemeInfo&scheme_id=1	29600888	Haapalainen M, Wang J, Latvala S, et al. Genetic Variation of 'Candidatus Liberibacter solanacearum' Haplotype C and Identification of a Novel Haplotype from Trioza urticae and Stinging Nettle. Phytopathology 2018;108:925-934.
listeria_2	Listeria	monocytogenes	Listeria monocytogenes MLST (Pasteur)	7	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_listeria_seqdef&page=schemeInfo&scheme_id=2	18773117	Ragon M, Wirth T, Hollandt F, et al. A new perspective on Listeria monocytogenes evolution. PLoS Pathog 2008;4:e1000146.
llactis_phage			Lactococcus lactis 936-like bacteriophage MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_llactis_phage_seqdef&page=schemeInfo&scheme_id=1		
lsalivarius	Ligilactobacillus	salivarius	Ligilactobacillus (Lactobacillus) salivarius MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_lsalivarius_seqdef&page=schemeInfo&scheme_id=1		
mabscessus	Mycobacteroides	abscessus	Mycobacteroides abscessus complex MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mabscessus_seqdef&page=schemeInfo&scheme_id=1	24384536	Macheras E, Konjek J, Roux AL, et al. Multilocus sequence typing scheme for the Mycobacterium abscessus complex. Res Microbiol 2014;165:82-90.
magalactiae	Mycoplasma	agalactiae	Mycoplasma agalactiae MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_magalactiae_seqdef&page=schemeInfo&scheme_id=1		
mamphoriforme	Mycoplasma	amphoriforme	Mycoplasma amphoriforme MLST	4	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mamphoriforme_seqdef&page=schemeInfo&scheme_id=1		
manserisalpingitidis	Mycoplasma	anserisalpingitidis	Mycoplasma anserisalpingitidis MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_manserisalpingitidis_seqdef&page=schemeInfo&scheme_id=1		
mbovis	Mycoplasma	bovis	Mycoplasma bovis MLST (legacy)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mbovis_seqdef&page=schemeInfo&scheme_id=1		
mbovis_2	Mycoplasma	bovis	Mycoplasma bovis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mbovis_seqdef&page=schemeInfo&scheme_id=2		
mcanis	Macrococcus	canis	Macrococcus canis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mcanis_seqdef&page=schemeInfo&scheme_id=1		
mcaseolyticus	Macrococcus	caseolyticus	Macrococcus caseolyticus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mcaseolyticus_seqdef&page=schemeInfo&scheme_id=1		
mcatarrhalis_achtman_6	Moraxella	catarrhalis	Moraxella catarrhalis MLST (Achtman)	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mcatarrhalis_achtman_seqdef&page=schemeInfo&scheme_id=6		
mflocculare	Mycoplasma	flocculare	Mycoplasma flocculare MLST	3	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mflocculare_seqdef&page=schemeInfo&scheme_id=1		
mgallisepticum	Mycoplasma	gallisepticum	Mycoplasma gallisepticum MLST #1 (Ghanem)	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mgallisepticum_seqdef&page=schemeInfo&scheme_id=1	31865685	Ghanem M, El-Gazzar M. Development of a Multilocus Sequence Typing Assay for Mycoplasma gallisepticum. Avian Dis 2019;63:693-702.
mgallisepticum_2	Mycoplasma	gallisepticum	Mycoplasma gallisepticum MLST #2 (Beko)	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mgallisepticum_seqdef&page=schemeInfo&scheme_id=2		
mgenitalium	Mycoplasma	genitalium	Mycoplasma genitalium MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mgenitalium_seqdef&page=schemeInfo&scheme_id=2		
mhaemolytica	Mannheimia	haemolytica	Mannheimia haemolytica MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mhaemolytica_seqdef&page=schemeInfo&scheme_id=1		
mhominis	Mycoplasma	hominis	Mycoplasma hominis MLST	5	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mhominis_seqdef&page=schemeInfo&scheme_id=1	30291332	Boujemaa S, Ben Allaya A, Mlik B, et al. Phylogenetics of Mycoplasma hominis clinical strains associated with gynecological infections or infertility as disclosed by an expanded multilocus sequence typing scheme. Sci Rep 2018;8:14854.
mhominis_3	Mycoplasma	hominis	Mycoplasma hominis expanded MLST (eMLST)	10	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mhominis_seqdef&page=schemeInfo&scheme_id=3	30291332	Boujemaa S, Ben Allaya A, Mlik B, et al. Phylogenetics of Mycoplasma hominis clinical strains associated with gynecological infections or infertility as disclosed by an expanded multilocus sequence typing scheme. Sci Rep 2018;8:14854.
mhyopneumoniae	Mycoplasma	hyopneumoniae	Mycoplasma hyopneumoniae MLST	3	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mhyopneumoniae_seqdef&page=schemeInfo&scheme_id=1	17884308	Mayor D, Jores J, Korczak BM, et al. Multilocus sequence typing (MLST) of Mycoplasma hyopneumoniae: a diverse pathogen with limited clonality. Vet Microbiol 2008;127:63-72.
mhyorhinis	Mycoplasma	hyorhinis	Mycoplasma hyorhinis MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mhyorhinis_seqdef&page=schemeInfo&scheme_id=1		
mhyosynoviae	Mycoplasma	hyosynoviae	Mycoplasma hyosynoviae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mhyosynoviae_seqdef&page=schemeInfo&scheme_id=1		
miowae	Mycoplasma	iowae	Mycoplasma iowae MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_miowae_seqdef&page=schemeInfo&scheme_id=1		
mplutonius	Melissococcus	plutonius	Melissococcus plutonius MLST	4	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mplutonius_seqdef&page=schemeInfo&scheme_id=1	23864566	Haynes E, Helgason T, Young JP, et al. A typing scheme for the honeybee pathogen Melissococcus plutonius allows detection of disease transmission events and a study of the distribution of variants. Environ Microbiol Rep 2013;5:525-9.
mpneumoniae	Mycoplasma	pneumoniae	Mycoplasma pneumoniae MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mpneumoniae_seqdef&page=schemeInfo&scheme_id=1	26202118	Brown RJ, Holden MT, Spiller OB, et al. Development of a Multilocus Sequence Typing Scheme for Molecular Typing of Mycoplasma pneumoniae. J Clin Microbiol 2015;53:3195-203.
msciuri	Mammaliicoccus	sciuri	Mammaliicoccus (Staphylococcus) sciuri MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_msciuri_seqdef&page=schemeInfo&scheme_id=1	33582485	Schauer B, Szostak MP, Ehricht R, et al. Diversity of methicillin-resistant coagulase-negative Staphylococcus spp. and methicillin-resistant Mammaliicoccus spp. isolated from ruminants and New World camelids. Vet Microbiol 2021;254:109005.
msynoviae	Mycoplasma	synoviae	Mycoplasma synoviae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_msynoviae_seqdef&page=schemeInfo&scheme_id=1		
mycobacteria_2			Mycobacteria spp. ribosomal-protein MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_mycobacteria_seqdef&page=schemeInfo&scheme_id=2		
neisseria	Neisseria		Neisseria spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_neisseria_seqdef&page=schemeInfo&scheme_id=1	9501229	Maiden MC, Bygraves JA, Feil E, et al. Multilocus sequence typing: a portable approach to the identification of clones within populations of pathogenic microorganisms. Proc Natl Acad Sci U S A 1998;95:3140-5.
oralstrep	Streptococcus	oralis	Streptococcus oralis (oral streptococci) MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_oralstrep_seqdef&page=schemeInfo&scheme_id=1		
orhinotracheale	Ornithobacterium	rhinotracheale	Ornithobacterium rhinotracheale MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_orhinotracheale_seqdef&page=schemeInfo&scheme_id=1	26829551	Thieme S, Mühldorfer K, Lüschow D, et al. Molecular Characterization of the Recently Emerged Poultry Pathogen Ornithobacterium rhinotracheale by Multilocus Sequence Typing. PLoS One 2016;11:e0148158.
otsutsugamushi	Orientia	tsutsugamushi	Orientia tsutsugamushi MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_otsutsugamushi_seqdef&page=schemeInfo&scheme_id=1		
pacnes_3	Cutibacterium	acnes	Cutibacterium (Propionibacterium) acnes MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_pacnes_seqdef&page=schemeInfo&scheme_id=3		
paeruginosa	Pseudomonas	aeruginosa	Pseudomonas aeruginosa MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_paeruginosa_seqdef&page=schemeInfo&scheme_id=1	15583294	Curran B, Jonas D, Grundmann H, et al. Development of a multilocus sequence typing scheme for the opportunistic pathogen Pseudomonas aeruginosa. J Clin Microbiol 2004;42:5644-9.
