#scheme	genus	species	description	n_loci	source	database_url	pubmed_id	citation
shaemolyticus	Staphylococcus	haemolyticus	Staphylococcus haemolyticus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_shaemolyticus_seqdef&page=schemeInfo&scheme_id=1		
shewanella	Shewanella		Shewanella spp. MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_shewanella_seqdef&page=schemeInfo&scheme_id=1	30339183	Martín-Rodríguez AJ, Suárez-Mesa A, Artiles-Campelo F, et al. Multilocus sequence typing of Shewanella algae isolates identifies disease-causing Shewanella chilikensis strain 6I4. FEMS Microbiol Ecol 2019;95.
shominis	Staphylococcus	hominis	Staphylococcus hominis MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_shominis_seqdef&page=schemeInfo&scheme_id=1		
siniae	Streptococcus	iniae	Streptococcus iniae MLST	8	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_siniae_seqdef&page=schemeInfo&scheme_id=1		
sinorhizobium	Sinorhizobium		Sinorhizobium spp. MLST	10	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_sinorhizobium_seqdef&page=schemeInfo&scheme_id=1		
smaltophilia	Stenotrophomonas	maltophilia	Stenotrophomonas maltophilia MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_smaltophilia_seqdef&page=schemeInfo&scheme_id=1	19251858	Kaiser S, Biehler K, Jonas D. A Stenotrophomonas maltophilia multilocus sequence typing scheme for inferring population structure. J Bacteriol 2009;191:2934-43.
smitis	Streptococcus	mitis	Streptococcus mitis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_smitis_seqdef&page=schemeInfo&scheme_id=1		
spneumoniae	Streptococcus	pneumoniae	Streptococcus pneumoniae MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_spneumoniae_seqdef&page=schemeInfo&scheme_id=1	9846740	Enright MC, Spratt BG. A multilocus sequence typing scheme for Streptococcus pneumoniae: identification of clones associated with serious invasive disease. Microbiology (Reading) 1998;144 ( Pt 11):3049-3060.
spseudintermedius	Staphylococcus	pseudintermedius	Staphylococcus pseudintermedius MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_spseudintermedius_seqdef&page=schemeInfo&scheme_id=1	23115265	Solyman SM, Black CC, Duim B, et al. Multilocus sequence typing for characterization of Staphylococcus pseudintermedius. J Clin Microbiol 2013;51:306-10.
spyogenes	Streptococcus	pyogenes	Streptococcus pyogenes (group A) MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_spyogenes_seqdef&page=schemeInfo&scheme_id=1	11254602	Enright MC, Spratt BG, Kalia A, et al. Multilocus sequence typing of Streptococcus pyogenes and the relationships between emm type and clone. Infect Immun 2001;69:2416-27.
ssuis	Streptococcus	suis	Streptococcus suis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_ssuis_seqdef&page=schemeInfo&scheme_id=1	12354864	King SJ, Leigh JA, Heath PJ, et al. Development of a multilocus sequence typing scheme for the pig pathogen Streptococcus suis: identification of virulent clones and potential capsular serotype exchange. J Clin Microbiol 2002;40:3671-80.
staphlugdunensis	Staphylococcus	lugdunensis	Staphylococcus lugdunensis MLST (Pasteur)	7	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_staphlugdunensis_seqdef&page=schemeInfo&scheme_id=1	22785196	Chassain B, Lemée L, Didi J, et al. Multilocus sequence typing analysis of Staphylococcus lugdunensis implies a clonal population structure. J Clin Microbiol 2012;50:3003-9.
sthermophilus	Streptococcus	thermophilus	Streptococcus thermophilus MLST	10	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_sthermophilus_seqdef&page=schemeInfo&scheme_id=1		
streptomyces	Streptomyces		Streptomyces spp. MLST	6	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_streptomyces_seqdef&page=schemeInfo&scheme_id=1		
streptothermophilus	Streptococcus	thermophilus	Streptococcus thermophilus MLST (Pasteur)	6	pasteur	https://bigsdb.pasteur.fr/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_streptothermophilus_seqdef&page=schemeInfo&scheme_id=1		
suberis	Streptococcus	uberis	Streptococcus uberis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_suberis_seqdef&page=schemeInfo&scheme_id=1	16461695	Coffey TJ, Pullinger GD, Urwin R, et al. First insights into the evolution of Streptococcus uberis: a multilocus sequence typing scheme that enables investigation of its population biology. Appl Environ Microbiol 2006;72:1420-8.
szooepidemicus	Streptococcus	zooepidemicus	Streptococcus equi subsp. zooepidemicus MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_szooepidemicus_seqdef&page=schemeInfo&scheme_id=1	18832307	Webb K, Jolley KA, Mitchell Z, et al. Development of an unambiguous and discriminatory multilocus sequence typing scheme for the Streptococcus zooepidemicus group. Microbiology (Reading) 2008;154:3016-3024.
taylorella	Taylorella		Taylorella spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_taylorella_seqdef&page=schemeInfo&scheme_id=1		
tenacibaculum	Tenacibaculum		Tenacibaculum spp. MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_tenacibaculum_seqdef&page=schemeInfo&scheme_id=1		
tpallidum	Treponema	pallidum	Treponema pallidum MLST (Grillova)	3	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_tpallidum_seqdef&page=schemeInfo&scheme_id=1	30059541	Grillová L, Bawa T, Mikalová L, et al. Molecular characterization of Treponema pallidum subsp. pallidum in Switzerland and France with a new multilocus sequence typing scheme. PLoS One 2018;13:e0200773.
tpyogenes	Trueperella	pyogenes	Trueperella pyogenes MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_tpyogenes_seqdef&page=schemeInfo&scheme_id=1		
tvaginalis	Trichomonas	vaginalis	Trichomonas vaginalis MLST	7	pubmlst	https://pubmlst.org/bigsdb?db=pubmlst_tvaginalis_seqdef&page=schemeInfo&scheme_id=1		
